K0,m,lr,batch,init,seed,epochs,mean_expansions,expansion_reduction_pct,forced_first_m_pct,dij_mean,train_s
32,8,0.001,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,80.58053491299506
32,8,0.001,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,75.01705769996624
32,8,0.001,512,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,95.62904881197028
32,8,0.001,512,block_sparse,43,200,537.32,89.91894934333958,89.94971857410881,5330.0,96.97962263599038
32,8,0.001,512,block_sparse,44,200,576.56,89.1827392120075,89.94971857410881,5330.0,97.1730843159603
32,8,0.001,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,90.17371349304449
32,8,0.001,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,95.04173810500652
32,8,0.001,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,96.45640875806566
32,8,0.003,128,block_sparse,42,200,562.9,89.4390243902439,89.94971857410881,5330.0,80.91634699003771
32,8,0.003,128,block_sparse,43,200,567.64,89.35009380863039,89.94971857410881,5330.0,84.41897521307692
32,8,0.003,128,block_sparse,44,200,592.0,88.89305816135085,89.94971857410881,5330.0,84.0681369859958
32,8,0.003,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,83.41687497892417
32,8,0.003,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.569008216960356
32,8,0.003,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,55.141455543925986
32,8,0.003,256,block_sparse,42,200,573.44,89.24127579737335,89.94971857410881,5330.0,53.96640782302711
32,8,0.003,256,block_sparse,43,200,525.03,90.14953095684804,89.94971857410881,5330.0,54.744275416014716
32,8,0.003,256,block_sparse,44,200,587.27,88.98180112570357,89.94971857410881,5330.0,54.36336208495777
32,8,0.003,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,54.0127451820299
32,8,0.003,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,53.559447454987094
32,8,0.003,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,54.031144149950705
32,8,0.003,512,block_sparse,42,200,589.04,88.94859287054409,89.94971857410881,5330.0,60.770657349028625
32,8,0.003,512,block_sparse,43,200,606.65,88.61819887429644,89.94971857410881,5330.0,59.716815620078705
32,8,0.003,512,block_sparse,44,200,572.56,89.2577861163227,89.94971857410881,5330.0,61.46785978996195
32,8,0.003,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.18014784401748
32,8,0.003,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,62.229363941936754
32,8,0.003,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,62.83452671102714
64,8,0.0003,128,block_sparse,42,200,589.07,88.94803001876173,89.94971857410881,5330.0,62.74551810603589
64,8,0.0003,128,block_sparse,43,200,563.21,89.43320825515949,89.94971857410881,5330.0,59.93479021801613
64,8,0.0003,128,block_sparse,44,200,552.52,89.63377110694184,89.94971857410881,5330.0,61.77777210401837
64,8,0.0003,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.33373812993523
64,8,0.0003,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.81398456194438
64,8,0.0003,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,58.49874380894471
64,8,0.0003,256,block_sparse,42,200,634.28,88.0998123827392,89.94971857410881,5330.0,61.057485469966196
64,8,0.0003,256,block_sparse,43,200,661.68,87.58574108818011,89.94971857410881,5330.0,60.98710054799449
64,8,0.0003,256,block_sparse,44,200,552.52,89.63377110694184,89.94971857410881,5330.0,61.72259612195194
64,8,0.0003,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.23147208895534
64,8,0.0003,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,58.76664713595528
64,8,0.0003,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.34342926205136
64,8,0.0003,512,block_sparse,42,200,639.13,88.00881801125703,89.94971857410881,5330.0,57.84529454400763
64,8,0.0003,512,block_sparse,43,200,620.96,88.34971857410882,89.94971857410881,5330.0,60.807937731966376
64,8,0.0003,512,block_sparse,44,200,552.52,89.63377110694184,89.94971857410881,5330.0,61.49068607005756
64,8,0.0003,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.39938204805367
64,8,0.0003,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.860946955974214
64,8,0.0003,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,61.18258114589844
64,8,0.001,128,block_sparse,42,200,590.93,88.91313320825516,89.94971857410881,5330.0,60.078330539981835
64,8,0.001,128,block_sparse,43,200,563.21,89.43320825515949,89.94971857410881,5330.0,60.69104281300679
64,8,0.001,128,block_sparse,44,200,552.52,89.63377110694184,89.94971857410881,5330.0,60.84667892905418
64,8,0.001,128,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.66639688692521
64,8,0.001,128,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.107641865033656
64,8,0.001,128,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.907253627083264
64,8,0.001,256,block_sparse,42,200,550.55,89.67073170731707,89.94971857410881,5330.0,60.94302380795125
64,8,0.001,256,block_sparse,43,200,590.86,88.91444652908066,89.94971857410881,5330.0,61.257081364048645
64,8,0.001,256,block_sparse,44,200,552.52,89.63377110694184,89.94971857410881,5330.0,60.190316693042405
64,8,0.001,256,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,60.510448522050865
64,8,0.001,256,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.524626565980725
64,8,0.001,256,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,62.05057461198885
64,8,0.001,512,block_sparse,42,200,619.73,88.37279549718573,89.94971857410881,5330.0,57.537282946985215
64,8,0.001,512,block_sparse,43,200,624.5,88.28330206378988,89.94971857410881,5330.0,60.03952135704458
64,8,0.001,512,block_sparse,44,200,589.02,88.94896810506566,89.94971857410881,5330.0,59.70691571489442
64,8,0.001,512,identity_first_m,42,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.26078888308257
64,8,0.001,512,identity_first_m,43,200,535.68,89.94971857410881,89.94971857410881,5330.0,59.593999777920544
64,8,0.001,512,identity_first_m,44,200,535.68,89.94971857410881,89.94971857410881,5330.0,62.10827934509143
