graph,fastmap_dims,query_idx,source,target,fastmap_cost,dijkstra_cost,cost_diff,cost_ratio,is_violation,fastmap_expansions,dijkstra_expansions
NY,16,30,11534,40397,341882.0,280609.0,61273.0,1.218357215912533,True,733,70008
NY,16,31,257750,263160,288654.0,236994.0,51660.0,1.2179802020304311,True,332,8252
NY,16,32,55591,220884,337886.0,259125.0,78761.0,1.3039498311625664,True,688,88238
NY,16,33,23247,24300,116064.0,105505.0,10559.0,1.1000805649021372,True,105,12886
NY,16,34,82798,9268,1003352.0,947456.0,55896.0,1.0589958794920291,True,2236,193594
NY,16,35,194776,217851,257719.0,229408.0,28311.0,1.1234089482494072,True,3691,63599
NY,16,36,236584,38044,948273.0,819825.0,128448.0,1.1566773396761505,True,4405,160578
NY,16,37,48984,120151,273169.0,224962.0,48207.0,1.2142895244530187,True,398,56270
NY,16,38,133767,124375,813918.0,620781.0,193137.0,1.3111193802645378,True,4519,222379
NY,16,39,179262,136330,258979.0,231023.0,27956.0,1.121009596447107,True,532,51056
NY,16,40,164231,13986,469920.0,366434.0,103486.0,1.2824137498157921,True,4871,91870
NY,16,41,61858,129312,318345.0,238105.0,80240.0,1.3369941832384873,True,535,26573
NY,16,42,12666,134633,234957.0,212507.0,22450.0,1.1056435787997572,True,293,36059
NY,16,43,104488,183323,630804.0,515094.0,115710.0,1.2246386096518305,True,13666,195708
NY,16,44,30535,77373,972833.0,772226.0,200607.0,1.2597775780665246,True,3098,245192
NY,16,45,123684,24538,476308.0,376544.0,99764.0,1.264946460440214,True,2062,97918
NY,16,46,201664,139182,129411.0,123984.0,5427.0,1.0437717770034842,True,366,17450
NY,16,47,158338,184064,170425.0,130865.0,39560.0,1.302296259504069,True,182,15330
NY,16,48,214020,98806,823478.0,666614.0,156864.0,1.2353145898525983,True,14569,212577
NY,16,49,90982,121626,446883.0,417516.0,29367.0,1.0703374241945218,True,658,36494
NY,16,50,119176,218126,1033863.0,899413.0,134450.0,1.1494863872325616,True,2604,161116
NY,16,51,218969,122409,366923.0,284834.0,82089.0,1.288199442482288,True,526,63227
NY,16,52,23419,253618,305094.0,243168.0,61926.0,1.2546634425582313,True,1156,66110
NY,16,53,245310,50015,707482.0,562801.0,144681.0,1.2570731039923526,True,3047,160417
