graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
NY,71,165838,61087,29379,26871,161.22154297772795,261.2896519713104
NY,72,68840,118451,1711,1815,40.55422602687031,52.01310000848025
NY,73,39353,193075,5176,3894,53.062964929267764,66.51579297613353
NY,74,214283,65318,25964,17786,146.10551402438432,195.4738050699234
NY,75,241025,67172,24991,40449,142.5180920632556,337.69135794136673
NY,76,216688,256951,29460,2135,180.65100500825793,61.58878898713738
NY,77,93264,246458,20222,17678,124.05007099732757,175.00925692729652
NY,78,225281,112859,5116,2010,54.44513098336756,56.54607096221298
NY,79,257426,177789,6524,4313,60.31609489582479,72.75503198616207
NY,80,218164,125657,10307,2367,77.2696720669046,60.602403013035655
NY,81,235167,157381,40092,45560,212.10109605453908,388.20486806798726
NY,82,194806,70467,8550,3823,70.64712804276496,69.4431479787454
NY,83,183734,98506,25627,34391,150.71050904225558,330.3408209467307
NY,84,109751,168229,11356,20608,110.74899300001562,217.48410095460713
NY,85,106081,89045,29589,23178,158.9343500090763,205.29524399898946
NY,86,34698,110078,209,204,38.862969959154725,41.01902688853443
NY,87,22671,86202,14818,5403,92.47639693785459,81.37548889499158
NY,88,51663,15708,1951,2719,45.19648302812129,62.21865094266832
NY,89,133883,112547,6958,8570,65.68322400562465,107.33459796756506
NY,90,34754,226814,3202,3197,48.482072073966265,63.34681110456586
NY,91,237714,142483,10750,4305,93.58942101243883,79.4506820384413
NY,92,133983,214835,3246,2888,50.460102036595345,63.86975396890193
NY,93,84896,71295,3746,1037,50.74853799305856,48.65800798870623
NY,94,219686,132874,2663,6247,50.19589501898736,91.43566701095551
NY,95,8155,47254,16910,8468,98.68888091295958,106.81416105944663
NY,96,85981,30306,30221,26214,148.75326200854033,265.45991702005267
NY,97,147718,120975,8120,5061,68.61259101424366,80.04495408385992
NY,98,107512,147443,11058,15968,80.6647390127182,164.0890509588644
NY,99,133121,162688,2309,3270,48.280240036547184,66.56379695050418
BAY,0,121958,146867,2098,2250,51.21261102613062,63.809198094531894
BAY,1,131932,259178,33008,36531,179.15429593995214,326.53903600294143
BAY,2,119879,110268,14007,6585,88.91521103214473,88.79232301842421
BAY,3,207892,54886,28820,28008,150.57006396818906,257.8827110119164
BAY,4,137337,87498,34240,25352,196.52400398626924,259.144130977802
BAY,5,175203,191335,27236,31586,154.73079902585596,265.7390780514106
BAY,6,278167,41090,5669,4042,64.79720200877637,74.01981996372342
BAY,7,64820,262913,37031,22283,190.38350996561348,218.1158720050007
BAY,8,194027,252709,5039,5022,60.31678896397352,82.4727900326252
BAY,9,199041,267455,29210,2449,159.29609106387943,68.32974194549024
BAY,10,103355,235796,18366,16349,127.81604507472366,182.65287205576897
BAY,11,214176,184779,88806,18559,348.97292708046734,197.09604198578745
BAY,12,258795,156730,176649,2873,680.4432980716228,70.27611997909844
BAY,13,149503,130523,2335,2276,52.42120090406388,62.00691999401897
BAY,14,2747,123855,11756,6730,84.92854004725814,92.8865660680458
BAY,15,65725,129981,53448,23786,232.08047996740788,211.61521808244288
BAY,16,84654,67435,15160,13959,96.28570603672415,140.86767192929983
BAY,17,319030,31551,19375,17695,112.92564694304019,168.3807789813727
BAY,18,273538,3890,8789,9730,75.99646702874452,114.71615801565349
BAY,19,41606,256840,25884,23678,151.27775608561933,211.58877003472298
BAY,20,141699,270936,21571,20796,119.35325700324029,193.53090703953058
BAY,21,239931,239629,365,121,44.802903081290424,47.61858703568578
BAY,22,205041,174073,95732,36356,387.97553605400026,307.0222840178758
BAY,23,207624,68148,16544,18749,103.24377694632858,176.16104101762176
BAY,24,252801,124243,153848,15144,583.1094899913296,153.81238097324967
BAY,25,251995,154555,125898,11607,483.46949298866093,128.94220103044063
BAY,26,48555,256508,27112,26470,145.75746201444417,237.27570998016745
BAY,27,279303,106530,10580,11286,83.04533397313207,124.99027594458312
BAY,28,80077,298064,226,226,46.05380294378847,48.393244040198624
BAY,29,200551,281601,29426,29094,154.49369605630636,254.8858089139685
BAY,30,208261,240181,1401,1391,50.96477398183197,57.81593394931406
BAY,31,315139,171829,12256,3870,92.77559106703848,75.48446103464812
BAY,32,271836,202283,11472,16454,88.32074399106205,187.72127700503916
BAY,33,196769,37065,24512,9379,141.62128698080778,121.76399794407189
BAY,34,223165,99299,28953,13153,144.1142619587481,137.39377493038774
BAY,35,11534,40397,56881,32067,253.57253302354366,276.87024895567447
BAY,36,257750,263160,2071,1507,52.663290058262646,55.157070979475975
BAY,37,55591,220884,3875,3834,62.03682196792215,78.8916100282222
BAY,38,23247,24300,2233,2233,53.29516506753862,62.24900600500405
BAY,39,82798,9268,10392,10235,84.75686598103493,118.89734293799847
BAY,40,274329,194776,65824,63846,301.1078489944339,527.217466966249
BAY,41,217851,236584,437,327,47.35083307605237,47.9038410121575
BAY,42,38044,313358,51608,30262,247.16375197749585,268.5378569876775
BAY,43,48984,302918,1242,4119,53.03367099259049,77.6940870564431
BAY,44,264712,120151,114606,23486,444.6047400124371,237.0817830087617
BAY,45,133767,124375,977,556,48.59287105500698,48.525779973715544
BAY,46,179262,136330,18242,11710,112.44674806948751,131.20761699974537
