graph,seed,method,K0,m,compression_ratio,bytes_per_vertex,reduction_pct,mean_exp,nominal_fwd,nominal_bwd,unique_fwd,unique_bwd,duplicates_fwd,duplicates_bwd,effective_unique_total,effective_unique_ratio
manhattan,1024,AAC,64,4,0.0625,16,66.77144120817069,773.83,2,2,2,2,0,0,4,1.0
manhattan,1024,ALT,64,4,0.0625,16,72.82603561475602,632.83,2,2,2,2,0,0,4,1.0
manhattan,1024,AAC,64,8,0.125,32,81.28486222577196,435.84,4,4,4,4,0,0,8,1.0
manhattan,1024,ALT,64,8,0.125,32,83.85656193506554,375.95,4,4,4,4,0,0,8,1.0
manhattan,1024,AAC,64,16,0.25,64,86.31275200638953,318.75,8,8,8,8,0,0,16,1.0
manhattan,1024,ALT,64,16,0.25,64,90.43588785688829,222.73,8,8,8,8,0,0,16,1.0
manhattan,1024,AAC,64,32,0.5,128,92.45494480013397,175.71,16,16,16,16,0,0,32,1.0
manhattan,1024,ALT,64,32,0.5,128,92.13460952160116,183.17,16,16,16,16,0,0,32,1.0
manhattan,1024,AAC,64,64,1.0,256,93.60703535281968,148.88,32,32,32,32,0,0,64,1.0
manhattan,1024,ALT,64,64,1.0,256,93.45373817529125,152.45,32,32,32,32,0,0,64,1.0
