graph,graph_kind,seed,query_mode,method,K0,m,alt_K,bytes_per_vertex,num_queries,mean_expansions,median_expansions,reduction_pct,all_optimal,preprocess_sec
manhattan,osmnx,789,powerlaw,Hybrid,64,16,8,128,100,159.64,107.0,92.4893319720914,True,178.87722907296848
manhattan,osmnx,1024,uniform,AAC,64,16,8,64,100,291.04,155.5,86.52523971128159,True,155.45774794800673
manhattan,osmnx,1024,uniform,ALT,0,0,8,64,100,225.87,139.0,89.54252299885643,True,0.26235184498364106
manhattan,osmnx,1024,uniform,Hybrid,64,16,8,128,100,187.31,122.0,91.32779910088014,True,155.72009979299037
manhattan,osmnx,1024,hotspot,AAC,64,16,8,64,100,283.19,131.5,86.21315833033115,True,155.45774794800673
manhattan,osmnx,1024,hotspot,ALT,0,0,8,64,100,305.59,110.5,85.12263517131925,True,0.26235184498364106
manhattan,osmnx,1024,hotspot,Hybrid,64,16,8,128,100,226.93,87.0,88.9521240859566,True,155.72009979299037
manhattan,osmnx,1024,powerlaw,AAC,64,16,8,64,100,276.58,176.5,87.98392527424785,True,155.45774794800673
manhattan,osmnx,1024,powerlaw,ALT,0,0,8,64,100,228.12,140.5,90.08927989573151,True,0.26235184498364106
manhattan,osmnx,1024,powerlaw,Hybrid,64,16,8,128,100,185.24,128.0,91.95221027479093,True,155.72009979299037
