graph,method,K0,m,alt_K,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,admissibility_violations,seed
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.1995767749613151,3.22640344616957,0,1024
manhattan,ALT,0,0,32,256,152.45,93.45373817529125,0.23200520599493757,2.964958254015073,0,1024
NY,AAC,16,8,0,32,22452.13,83.16471274638766,89.9927580790245,169.64331285038497,0,42
NY,AAC,32,16,0,64,13963.55,89.52970718902044,84.75088633800624,108.02672743273433,0,42
NY,AAC,64,32,0,128,10132.43,92.40239702749275,106.32444187701913,82.94262233714107,0,42
NY,AAC+ALT,16,8,4,64,12522.55,90.61021264362343,107.10446105204755,191.48834015941247,0,42
NY,AAC+ALT,32,16,4,96,10563.15,92.07943012297741,113.05774040002143,184.0628563851351,0,42
NY,ALT,0,0,4,32,19858.21,85.10971254430841,1.3269602669752203,196.11915293091442,0,42
NY,ALT,0,0,8,64,11739.94,91.19703733052617,2.9593570260331035,179.13259567401838,0,42
NY,ALT,0,0,12,96,9146.4,93.14175219293493,2.7205412560142577,127.35899449093267,0,42
NY,ALT,0,0,16,128,8366.41,93.72661232446566,3.7642809100216255,222.40414440864697,0,42
NY,ALT,0,0,32,256,6004.14,95.49791393462874,5.411848205025308,93.72626766504254,0,42
NY,AAC,16,8,0,32,25702.93,80.72716442451163,72.61071859300137,308.07500105234794,0,123
NY,AAC,32,16,0,64,13512.34,89.86803811627333,85.78358636703342,210.88232372072525,0,123
NY,AAC,64,32,0,128,10336.0,92.24975407440911,89.21003797603771,91.74682236043736,0,123
NY,AAC+ALT,16,8,4,64,15704.77,88.22408768335507,101.89211271802196,246.86420669779181,0,123
NY,AAC+ALT,32,16,4,96,11387.23,91.4615099737552,72.64321953098988,177.04810720693786,0,123
NY,ALT,0,0,4,32,19858.21,85.10971254430841,1.4484533889917657,195.27602627000306,0,123
NY,ALT,0,0,8,64,11739.94,91.19703733052617,1.8416306879953481,132.41852290171664,0,123
NY,ALT,0,0,12,96,9146.4,93.14175219293493,2.2632742910063826,114.68920330924448,0,123
NY,ALT,0,0,16,128,8366.41,93.72661232446566,2.682736793998629,113.84664767771028,0,123
NY,ALT,0,0,32,256,6004.14,95.49791393462874,5.5498958810348995,175.96067179867532,0,123
NY,AAC,16,8,0,32,32491.12,75.63717391661334,64.28994689800311,203.6956587282475,0,456
NY,AAC,32,16,0,64,15030.76,88.72948080025789,106.28455160197336,104.41484439128544,0,456
NY,AAC,64,32,0,128,9490.03,92.8840880087814,121.753584865015,81.70283089042641,0,456
NY,AAC+ALT,16,8,4,64,15157.87,88.63416987150383,94.85066663700854,285.6728720787214,0,456
NY,AAC+ALT,32,16,4,96,11612.5,91.29259570327746,97.1918982170173,292.3963959288085,0,456
NY,ALT,0,0,4,32,19858.21,85.10971254430841,1.4076564499991946,197.93759700492956,0,456
NY,ALT,0,0,8,64,11739.94,91.19703733052617,2.2279089599614963,181.74859545135405,0,456
NY,ALT,0,0,12,96,9146.4,93.14175219293493,3.8633575499989092,236.3159723894205,0,456
NY,ALT,0,0,16,128,8366.41,93.72661232446566,4.059650590003002,115.40531144768465,0,456
NY,ALT,0,0,32,256,6004.14,95.49791393462874,4.6469996880041435,89.93826815858483,0,456
NY,AAC,16,8,0,32,40097.96,69.9333348379928,98.9866029410041,206.2246282713022,0,789
NY,AAC,32,16,0,64,14159.36,89.38288291902336,93.74145108903758,105.13705309538636,0,789
NY,AAC,64,32,0,128,8454.11,93.66085220762412,77.15484521799954,77.5293941696873,0,789
NY,AAC+ALT,16,8,4,64,15343.62,88.494888894271,98.12853510200512,219.99433296965435,0,789
NY,AAC+ALT,32,16,4,96,12161.25,90.88112632908357,106.88962014298886,190.50949421944097,0,789
NY,ALT,0,0,4,32,19858.21,85.10971254430841,1.3307955019990914,255.08799460018054,0,789
NY,ALT,0,0,8,64,11739.94,91.19703733052617,2.7548590999795124,281.38137112837285,0,789
NY,ALT,0,0,12,96,9146.4,93.14175219293493,3.3755251549882814,151.661742044962,0,789
NY,ALT,0,0,16,128,8366.41,93.72661232446566,4.162536167015787,112.76684364012908,0,789
NY,ALT,0,0,32,256,6004.14,95.49791393462874,7.257743188994937,179.22999380156398,0,789
NY,AAC,16,8,0,32,23533.38,82.3539587402881,65.93668055202579,137.7631197590381,0,1024
NY,AAC,32,16,0,64,15364.31,88.47937490547451,78.60695301298983,215.7637962064473,0,1024
NY,AAC,64,32,0,128,9645.33,92.76763936402094,96.06902796798386,81.13598445896059,0,1024
NY,AAC+ALT,16,8,4,64,13535.77,89.85046959246948,107.86004593700636,205.72544801281765,0,1024
NY,AAC+ALT,32,16,4,96,12561.23,90.58120920782603,118.65388143796008,192.8722536098212,0,1024
NY,ALT,0,0,4,32,19858.21,85.10971254430841,1.8342225520173088,263.71848543698434,0,1024
NY,ALT,0,0,8,64,11739.94,91.19703733052617,2.7197940929909237,184.99252433830407,0,1024
NY,ALT,0,0,12,96,9146.4,93.14175219293493,3.3264484149985947,146.85131072765216,0,1024
NY,ALT,0,0,16,128,8366.41,93.72661232446566,3.2700235539814457,128.5405672324123,0,1024
NY,ALT,0,0,32,256,6004.14,95.49791393462874,4.423649439995643,90.31827093218453,0,1024
