graph,method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,peak_memory_mb,admissibility_violations,num_nodes,num_edges,seed
manhattan,AAC,32,16,16,64,260.22,88.82605279091038,34.10566312103765,2.6044919749256223,1060.5703125,0,4626,9897,789
manhattan,AAC,64,16,16,64,315.87,86.43642031767298,28.04094547301065,3.056259075528942,1060.5703125,0,4626,9897,789
manhattan,AAC,64,32,32,128,185.43,92.03756424955236,32.83219004701823,2.1083771903067827,1060.5703125,0,4626,9897,789
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.0338887599646113,3.202278367825784,1060.5703125,0,4626,9897,1024
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.0473049320280551,2.1428307599853724,1060.5703125,0,4626,9897,1024
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.0626394170103594,1.914753019809723,1060.5703125,0,4626,9897,1024
manhattan,ALT,0,0,32,256,152.45,93.45373817529124,0.0749736750149168,1.6922750289086252,1060.5703125,0,4626,9897,1024
manhattan,AAC,16,8,8,32,675.75,70.9830342535458,15.692213492991868,5.661206382210366,1060.5703125,0,4626,9897,1024
manhattan,AAC,32,8,8,32,382.0,83.59677260059858,17.87151215103222,3.6628800589824095,1060.5703125,0,4626,9897,1024
manhattan,AAC,32,16,16,64,274.12,88.22918142742431,34.055124301987235,2.738748811534606,1060.5703125,0,4626,9897,1024
manhattan,AAC,64,16,16,64,318.75,86.31275200638953,32.580074644007254,3.112043454311788,1060.5703125,0,4626,9897,1024
manhattan,AAC,64,32,32,128,175.71,92.45494480013396,28.279897169035397,1.9899322930723429,1060.5703125,0,4626,9897,1024
berlin,ALT,0,0,4,32,1903.12,86.46200423684806,0.307191550033167,17.132483429741114,1060.5703125,0,28397,72857,42
berlin,ALT,0,0,8,64,1016.97,92.76570287146755,0.2853088559932075,10.534180081449447,1060.5703125,0,28397,72857,42
berlin,ALT,0,0,16,128,683.02,95.1412828060511,0.3128001900040544,8.326558294938877,1060.5703125,0,28397,72857,42
berlin,ALT,0,0,32,256,520.8,96.29524770195808,0.4497267610277049,7.078100802609697,1060.5703125,0,28397,72857,42
